colorIdentity,convertedManaCost,coloredManaCost,power,toughness,rarity,types,uuid,text,releaseDate
B;R,7,2,7,4,uncommon,demon legendary,378c5827-c11f-57e3-b4d6-1a308ca1b746,,11/1/1998
X,0,0,0,2,common,thopter artifact,bf1fa173-654a-5aff-a402-4d4614e03421,flying,3/4/1994
X,3,0,2,3,uncommon,wall artifact,c526289b-a705-5350-a7fe-d72b312c6f97,defender firststrike,3/4/1994
X,3,0,1,4,common,soldier artifact,bb438a2c-feba-5e98-841b-dcce02d063b6,vigilance,3/4/1994
W,2,1,0,4,common,wall,e7ce43af-ce65-5ba7-b913-168148343a1a,defender flying,5/4/2012
W,7,2,5,5,uncommon,angel,d0f7989f-fb29-59d9-9da6-a19e9157f8f3,flying vigilance,5/4/2012
W,3,1,2,3,common,human scout,7078f0b7-6fe4-5dfe-ac09-3b96ebfac7a0,swampwalk,5/4/2012
W,4,2,2,4,common,angel,7ca912a5-4157-5d84-b537-cbf6db3830df,flying lifelink,5/4/2012
W,2,1,2,1,common,human soldier,e3318fe1-0b3d-52ce-87fc-5ae920ccd84e,vigilance,5/4/2012
B,2,1,1,1,common,zombie,511986a6-5629-54d9-982b-27b38331e58e,undying,5/4/2012
B,5,2,5,3,common,demon,85ea88a7-afcd-5964-bec0-26ace610cb11,,5/4/2012
R,4,2,2,2,rare,elemental dog,41faa04c-2fd2-5bee-b749-22eaad9e0bc5,doublestrike undying,5/4/2012
R,5,1,6,1,common,spirit,e932ffcc-00cb-5403-9707-1ee2a6e6a4e2,,5/4/2012
G,4,1,4,3,common,boar,d4d5d4bc-c1d3-58c0-b221-99cf5a8d7f0c,,5/4/2012
G,6,2,7,7,uncommon,elemental horror,1f595939-3051-52be-86fe-923cacf3660e,,5/4/2012
X,2,0,2,1,uncommon,construct artifact,c31e61ac-7bcf-5f08-a2d5-42d2694be2c4,defender firststrike,5/4/2012
R,7,1,5,4,common,hellion,432d83f9-fa7b-5546-98b2-7e912b83b8d4,assist trample haste,6/8/2018
G,8,1,7,5,common,beast,5770c805-aa03-5756-bfdd-8a72a9d5c6ae,assist trample,6/8/2018
W,7,1,5,5,uncommon,angel,3da0b594-6923-5c43-8885-463c51b1366c,flying firststrike,6/8/2018
W,4,1,3,2,common,dog warrior,fcc2aa2c-a048-5f95-9981-d67be841e6b2,lifelink,6/8/2018
W,2,1,3,1,common,dinosaur,8fb3987b-15d6-5dc8-8fcc-e9c3578d9f17,,6/8/2018
U,6,1,4,5,common,giant,703a1eb8-68b9-554f-a01a-7c716a5ed134,hexproof,6/8/2018
U,1,1,0,4,common,kraken,e7ae09bf-0ebe-5d52-aff4-e331d3f28ca7,,6/8/2018
U,5,1,3,3,common,elemental,4951240c-edcf-5805-8633-1574de595579,flying,6/8/2018
B,2,1,1,1,common,imp,40dd457c-47bb-52cb-bb5f-7078f4d06c57,flying lifelink,6/8/2018
B,2,1,2,1,common,human warrior,22a0f919-978d-5c34-87a4-45d8e69a7230,deathtouch,6/8/2018
B,4,1,3,4,common,aetherborn warrior,396e74f3-3ecf-55b2-87b4-bef84083cac7,,6/8/2018
R,5,2,4,5,common,elemental,b91e6bae-3810-5b6b-a14c-bb84601441fe,,6/8/2018
G,2,1,1,3,common,spider,32719a37-9cd0-582a-bb76-4b7cfd0294b9,reach,6/8/2018
G,6,2,6,6,common,wurm,39050a0a-615f-579e-8c8a-6f6cabb7acdc,,6/8/2018
G,3,1,2,2,common,basilisk,0e9ff1ed-a788-5972-822c-c010a24b47b9,deathtouch,6/8/2018
G,7,3,7,6,uncommon,beast,fe976a4b-90f8-556b-9fdd-ea8718ab55fb,trample hexproof,6/8/2018
G,4,1,3,3,common,beast,813796d4-c04b-5ccf-8610-354996d79659,hexproof,6/8/2018
G;R,4,2,4,4,common,rhino warrior,9038e0c4-767d-5380-83a2-fadd74889013,,6/8/2018
X,2,0,0,4,common,wall artifact,f72d554e-0624-5816-b5e4-5b5f2ec8b57e,defender reach,6/8/2018
X,6,0,4,4,uncommon,chimera artifact,d2b5a263-85dc-5814-b755-081838650b9d,flying,6/8/2018
X,7,0,5,7,common,golem artifact,8abf1bfa-bec9-503c-aac4-0424810cb8f2,,6/8/2018
X,4,0,2,2,common,gargoyle artifact,f436ec8a-ffc5-52fb-89c6-39b0d21c4ad3,flying,6/8/2018
X,5,0,4,4,common,golem artifact,30d20fc4-3c9c-5fdc-9fd0-ae18fd3184b4,,6/8/2018
X,3,0,1,4,common,soldier artifact,a38cd0fd-f623-567b-85cf-b56b55f8e9e4,vigilance,6/8/2018
X,8,0,8,9,common,eldrazi,5914c6df-b12d-57e6-857b-ad6f8bcc3f3a,trample,10/2/2015
W,1,1,2,1,uncommon,human scout ally,ea6bee58-8333-525b-a3a3-e8ec96fe0af2,,10/2/2015
W,2,1,0,6,common,wall,319fc57c-4e44-522a-b05d-6b11d59bee70,defender,10/2/2015
W,5,1,3,3,common,kor spirit,1bb77732-ad50-5a75-b6f5-67845d1df3b9,flying vigilance,10/2/2015
W,1,1,1,1,common,kor scout,aeea404b-c58d-54c0-afdf-17356001e6f0,flying,10/2/2015
U,2,1,1,2,common,eldrazi drone,e6871bbd-d7f6-50b8-910f-8c3463e7a315,devoid flying ingest,10/2/2015
U,4,1,3,2,common,fish,e394f64e-1a56-5b6b-a4e4-56aeed9e7c1b,flying,10/2/2015
B,2,1,2,2,common,eldrazi drone,fd1183ad-ae98-5c4b-b93d-97d32b74d999,devoid ingest,10/2/2015
G,4,1,4,3,common,wurm,f84fccd1-742a-5170-b8aa-3cf3996f2c64,,10/2/2015
G,4,1,2,4,common,insect,f4fa1bce-ccc1-5bc3-9fa9-e444db16d4c6,reach,10/2/2015
W,3,1,2,2,common,kor soldier,e8c97e17-0abf-590f-be45-cd217091ca6f,flying,10/2/2015
R,4,1,3,4,common,eldrazi drone,596bc95b-8993-5bc6-a740-09f68331a6bd,devoid trample,10/2/2015
R,5,2,4,4,common,giant warrior ally,d4b85f47-ff11-5e40-9d93-764aba27b829,menace,10/2/2015
G,7,3,7,6,uncommon,beast,849870a1-602a-50c0-8fa8-e5ae20070864,trample hexproof,10/2/2015
W,4,1,2,4,common,elk,569d7d52-6b9d-5b4c-8ddc-d6d1673150c1,,2/7/2014
R,4,2,5,2,common,cyclops,1a068201-08b7-5e60-9570-bfc00284ca19,,2/7/2014
G,1,1,1,1,common,badger,7e2daa7c-5ba0-58b4-b73e-d06cfe8a62bc,trample,2/7/2014
G,2,2,3,2,common,centaur warrior,5d2d0e87-9222-576f-99f2-42f38223f048,,2/7/2014
W,6,2,3,3,common,fox samurai,30faa8a4-318e-5515-ba06-ab5c887f37d1,flash bushido1,2/4/2005
B,6,1,2,2,common,spirit,25993f5e-061e-53d2-933e-c606f84c5793,fear soulshift5,2/4/2005
R,5,2,5,3,common,ogre warrior,02cc3e00-1bc5-5143-aa84-7ee2c0331656,,2/4/2005
G,9,2,8,5,uncommon,spirit,0e4a2501-afb8-5915-ada3-0dfff5c88877,trample soulshift8,2/4/2005
G,5,2,4,4,uncommon,spirit,282d6da0-8c42-57e5-b39f-832147a6eb79,soulshift4 soulshift4,2/4/2005
G,3,2,3,3,common,spirit,74ddca44-cc62-5a47-a6c9-0524ac4d4227,,2/4/2005
U,5,2,4,4,uncommon,elemental,74061dbd-1bab-5ff4-b5b9-168e361e6a25,flying,11/12/1999
W,2,1,1,2,common,pegasus,62067858-1bb8-56cc-ba21-d17fff815120,flying,11/12/1999
U,4,1,2,4,uncommon,drake,c71fa112-26c2-5afc-91a9-e548293ee88b,flying,11/12/1999
B,4,1,2,2,uncommon,imp,b81f7643-b7ea-53eb-be3d-08df548af066,flying haste,11/12/1999
G,3,1,3,2,common,ape warrior,02d99623-9516-55e6-a241-944ceb19c2af,,11/12/1999
R,4,1,4,1,common,elemental,a152954d-a8ca-5411-b2e3-4324d1e29090,haste,11/12/1999
G,3,1,3,1,common,insect,398f4d3a-9bfa-57ba-989c-568e7e089d64,shroud,11/12/1999
R,1,1,1,1,common,goblin berserker,ec09d8d9-174d-584c-80b8-cfb89f1118d2,haste,11/12/1999
G,8,1,7,6,common,wurm,c86de043-2ae4-5890-9887-4b0a27d36fbf,,11/12/1999
G,1,1,1,1,common,faerie,150ebcad-e684-5ba8-8c77-61f04ae19ac6,flying,11/12/1999
W,1,1,1,1,common,soltari soldier,59b1382f-a97a-5d28-af3a-a96e0b635eb8,shadow,11/12/1999
R,3,1,2,6,common,wall,e434dd68-58f1-575f-ad4b-553122b99d63,defender,11/12/1999
U,3,1,2,2,common,drake,dddec387-6aa4-5031-846f-7cea39733dd7,flying,11/12/1999
U,5,2,4,4,uncommon,elemental,f6dabfe4-5193-5fc6-ac6e-36873d57f0e1,flying,10/1/2000
U,6,2,5,6,rare,djinn,14c7be56-135c-5416-afef-75627ae5ebc3,flying,10/1/2000
U,4,1,3,2,common,drake,57cfee55-3245-51e7-aa6d-65e154a0f0fe,flying,10/1/2000
B,3,1,2,1,common,nightstalker,4b5e2271-cd55-5be2-bd12-167017347268,flying,10/1/2000
R,4,2,4,3,common,giant,4be22880-c2d8-58cb-b1a7-ee4ce4d711ce,,10/1/2000
R,1,1,1,1,common,goblin berserker,70a5a814-6b1f-5c0a-baa9-029f243b3bdd,haste,10/1/2000
R,4,2,3,3,common,minotaur berserker,30ae4b65-8014-5a5e-9bd3-48561bf876a1,haste,10/1/2000
R,5,2,4,3,uncommon,giant,b14efdd3-e0dc-5815-8d4c-a3706b785d41,haste,10/1/2000
R,4,1,4,2,common,viashino warrior,8f56092e-b852-5ba6-8be7-e5f6087dd7ff,,10/1/2000
G,8,2,8,4,common,rhino,5f38538f-5e13-5652-aa22-cf274effb818,trample,10/1/2000
G,5,1,6,1,common,insect,707ed7ee-f7d0-599c-994e-b1a56a53489d,shroud,10/1/2000
G,5,1,4,4,common,spider,b162b34b-d7c2-57c4-b45b-862eb3d82732,reach,10/1/2000
G,8,1,7,6,common,wurm,11a2243e-5220-528e-a923-1f5e5df2c15c,,10/1/2000
G,6,2,6,4,common,wurm,d981b29f-09f1-5c35-8bd3-43513d62e5e2,trample,10/1/2000
W,7,2,5,5,uncommon,angel,208cbe5a-57d2-5775-bead-29e13ad3da2b,flying vigilance,11/1/2013
B,3,2,2,3,uncommon,vampire shaman,fed88ac4-8777-5521-b8f4-1ec1388e0959,flying deathtouch lifelink,11/1/2013
B;U,2,2,2,1,common,bird artifact,c7a514eb-832f-56fc-b7fd-8b35d2bfd0c1,flying deathtouch,11/1/2013
B;U;W,4,3,4,4,uncommon,gargoyle artifact,6acb1b97-a2de-560f-8cca-794822c0f58c,flying,11/1/2013
G;U,3,2,1,1,common,snake,e499c198-27e0-5bc6-a1a5-7baa82717228,flash flying deathtouch,11/1/2013
W,3,2,1,1,uncommon,cat knight,778f1fae-dd1c-528e-82b1-bd3c91a6a890,flying doublestrike,11/7/2014
G,2,1,2,1,common,elf archer,33d74178-5d4e-56af-9b9a-ab7f3b2375de,reach deathtouch,11/7/2014
W,5,2,4,4,uncommon,angel,b6d50f6c-cabb-5d13-9e57-828647df6e38,flying vigilance myriad,11/13/2015
R,5,2,5,3,uncommon,giant warrior,c89a2271-4b1f-5c9b-baef-c6aa8524b960,haste myriad,11/13/2015
G,7,2,8,6,uncommon,beast,8cef3d84-33cf-55c7-bd45-c84e205a79f2,trample myriad,11/13/2015
G;R,4,2,3,2,uncommon,elf berserker,57d0a019-6cad-5813-8d65-2f6a24f00898,haste cascade,11/11/2016
B,3,2,2,3,uncommon,vampire shaman,e116fcf6-e366-5402-83c8-aced43aeb5c6,flying deathtouch lifelink,8/25/2017
B;W,2,2,2,1,common,vampire,6c3b4920-1a2c-50e7-bc08-6fb11496ad01,lifelink extort,8/25/2017
U,9,2,7,11,rare,leviathan artifact,b299434c-d50a-52cb-a59d-90e66451a81a,trample islandwalk shroud,8/9/2018
W,8,2,4,8,rare,elder dinosaur legendary,219ca6b3-84c4-5125-9c6c-1e662102e402,flying doublestrike vigilance trample indestructible,8/23/2019
W,3,2,2,3,uncommon,dwarf soldier,3854159c-2415-568c-b653-51b5e340ecc2,flying vigilance lifelink,4/17/2020
W,8,2,4,8,rare,elder dinosaur legendary,b30de7f0-00a6-5561-85e9-19ef82bd9a16,flying doublestrike vigilance trample indestructible,4/17/2020
B,3,2,2,3,uncommon,vampire shaman,d9be1b7d-1dfd-56c2-91f3-aa11e30207c3,flying deathtouch lifelink,4/17/2020
G,5,3,5,4,mythic,insect,66cfd90f-4a7a-563a-8d59-5036872267eb,vigilance trample undying,4/17/2020
W,8,2,4,8,rare,elder dinosaur legendary,df113b52-5355-57c2-86ec-c213f297a9a7,flying doublestrike vigilance trample indestructible,4/23/2021
B,3,2,2,3,uncommon,vampire shaman,0fbff208-5f70-5541-8595-c7d2b44c995c,flying deathtouch lifelink,4/23/2021
W,1,1,1,1,common,human soldier,a3a3a77f-e705-5c1e-a5ec-4e064af6e96a,banding,12/10/1993
W,2,1,1,1,common,pegasus,846989ab-7450-5e99-9182-7557be2744e6,flying banding,12/10/1993
W,3,1,2,2,common,unicorn,10533d16-f8d1-50b1-ad52-c814f6369687,,12/10/1993
W,1,1,2,1,rare,cat,0fdb6b72-c5b8-56ff-a15c-58156e4bb759,,12/10/1993
W,5,2,4,4,uncommon,angel,5815368f-8fc6-57eb-8ccd-efd76dbad305,flying vigilance,12/10/1993
W,4,1,3,5,uncommon,wall,4cf9255e-cd8f-580d-ae41-d9878b6aef05,defender flying,12/10/1993
U,5,2,4,4,uncommon,elemental,3648c747-d36e-5bd6-809d-5cfc1cd48e87,flying,12/10/1993
U,6,2,5,6,rare,djinn,562290c8-e3bd-5592-8f67-00ec11e464aa,flying,12/10/1993
U,1,1,1,1,common,merfolk,feb4e528-fa8e-5591-8894-eec1bf8fa365,,12/10/1993
U,4,1,3,3,uncommon,illusion,8fc0be53-98fb-54ad-809d-91204c9759b7,flying,12/10/1993
U,3,2,1,5,uncommon,wall,3fe52816-e0ac-5700-bcb2-92008b52b02f,defender flying,12/10/1993
U,5,2,5,4,uncommon,elemental,ba3e778b-161a-5b93-a36e-791619de2298,,12/10/1993
B,4,1,3,3,uncommon,wraith,f7c16c4d-9589-5e63-8588-66be2169bf28,swampwalk,12/10/1993
B,3,1,2,2,common,zombie,688c335d-8e49-56ca-8a54-9be289937b58,,12/10/1993
R,5,2,4,5,uncommon,elemental,5e7b3cdf-4a34-5194-ae38-87fe4e345d07,,12/10/1993
R,5,2,5,4,uncommon,elemental,4a9ba6d9-e55b-5b1c-9756-c49653b9d05d,,12/10/1993
R,3,1,2,2,common,ogre,686646e2-7b1a-56f4-bb4b-9060bfffc67e,,12/10/1993
R,4,1,3,3,common,giant,acf2e4f9-b7e6-5df8-89de-a269a3c7ab22,,12/10/1993
R,3,2,2,3,common,minotaur,35e0fe37-52bb-598f-a034-1a6d55128b19,,12/10/1993
R,1,1,1,1,common,goblin,34508c4a-ce7d-535e-8a02-a4ed82be9224,,12/10/1993
R,4,1,3,3,rare,bird,83c6eecb-b14e-5729-bbca-c7d4fa2d8b4f,flying,12/10/1993
R,3,2,0,8,uncommon,wall,8a95fb37-79df-564a-bbb2-b34435d37e4f,defender,12/10/1993
G,6,2,6,4,common,wurm,dbf269a8-3296-578d-a707-8e0aaf5008df,,12/10/1993
G,2,1,2,1,rare,elf archer,d031e1e4-653b-5a1c-aa13-24ee8df1ad5c,firststrike,12/10/1993
G,4,1,2,4,common,spider,a78a0a50-35e9-535f-993d-806fece0f9e2,reach,12/10/1993
G,2,1,2,2,common,bear,20bb034f-64d4-5989-bbb7-94459b484628,,12/10/1993
G,5,1,3,5,common,treefolk,7192aca6-4140-53d7-b3a8-3b60b6010f98,,12/10/1993
G,1,1,1,1,common,faerie,de86b18d-da7b-5a7e-a1cd-b89560170299,flying,12/10/1993
G,1,1,1,1,common,nymph dryad,5c85993e-1e9d-528c-851d-304f3d5dcc34,forestwalk,12/10/1993
G,1,1,1,1,rare,wolf,c941beae-4001-5a90-b231-adce1000c2a4,banding,12/10/1993
G,3,1,0,7,uncommon,wall,8346e3fa-0e18-5168-bdfe-20ec036a033a,defender,12/10/1993
G,1,1,0,3,common,wall,1e27a657-a07e-5b95-a0e2-0bca96235b21,defender,12/10/1993
G,4,1,3,3,common,elephant,82871eaa-9d2a-5493-a72b-2436a5c0401a,trample,12/10/1993
X,6,0,4,6,uncommon,golem artifact,2434efb0-24ad-564e-be74-222b23e82bcf,,12/10/1993
W,1,1,1,1,common,human samurai,bc84980c-3b29-5d77-b493-cccc5d336d6f,bushido1,10/1/2004
W,5,1,2,3,common,spirit,1269707b-e642-59e9-959b-2d28282d1a8d,flying soulshift4,10/1/2004
W,1,1,2,2,rare,dog legendary,c81ea548-0fc6-5cec-b041-8782a80701d8,,10/1/2004
W,4,1,1,7,uncommon,spirit,5920398d-9131-5015-8bc8-d72014fb10ce,,10/1/2004
W,6,1,3,2,uncommon,spirit,c36fe777-5667-5690-9376-aba1112d2879,flying firststrike soulshift5,10/1/2004
W,3,1,2,2,common,fox samurai,cdf28191-2045-5517-b46f-6cdc5b5d911e,firststrike bushido1,10/1/2004
W,7,2,3,3,rare,human samurai legendary,5a3603e3-6560-5fc4-b695-344f2d0b88e2,vigilance indestructible bushido5,10/1/2004
W,1,1,1,1,common,spirit,4d56bf38-0694-5542-a5c9-d84a8926f75d,flying,10/1/2004
W,4,1,2,2,common,human samurai,6c22631e-8ae2-506e-848a-7a6579a2a33a,flying bushido1,10/1/2004
W,6,2,4,4,uncommon,human samurai,3dd3c2e2-c681-5d3d-aa6b-28631661e246,bushido2,10/1/2004
U,3,1,1,4,common,spirit,9a5b54c3-9b71-51d7-a43c-8ec570e625e1,,10/1/2004
U,1,1,1,1,common,spirit,39668d00-1aa9-59a3-9ae0-dce7fc119a5b,,10/1/2004
B,4,1,2,2,common,spirit,c8b741cd-28fa-58ce-ae8b-b44f973f0b31,flying soulshift3,10/1/2004
B,6,2,4,1,uncommon,spirit,49866d76-aa9d-51b4-b745-5e7d9bb0ee77,flying soulshift5,10/1/2004
B,3,1,3,1,common,rat samurai,50b1de8e-ddfa-57e9-a6a8-52d164e55f0b,bushido1,10/1/2004
R,3,1,2,2,common,human samurai,80a52ed9-92c8-5a82-b752-71d5f84fdfa1,haste bushido1,10/1/2004
R,5,1,3,3,common,ogre warrior,77cea115-7942-5ec4-9e10-3b3b45db42ca,mountainwalk,10/1/2004
G,2,1,2,2,common,human monk,fcff8760-57de-526a-a671-ce261718cd16,shroud,10/1/2004
G,1,1,1,1,common,human monk,0a9bda6f-8456-5b57-9bfb-3eacf161404d,forestwalk,10/1/2004
G,5,3,6,4,rare,spirit legendary,e8fdac0a-1f7f-5032-a311-e6ad3ce10492,trample shroud,10/1/2004
G,6,1,5,5,common,spirit,4742d542-7650-5444-9426-dc8cce9e047c,trample,10/1/2004
G,4,1,4,3,common,human monk,d1dfb8ad-5448-5cdc-8ae7-28390a643015,,10/1/2004
G,8,2,6,6,uncommon,spirit,6c6f32af-6ef5-55ab-880a-8c7e14b21a83,soulshift7,10/1/2004
G,5,1,2,3,common,spirit,7bd4dab5-fff9-5003-97af-d76871935567,reach soulshift4,10/1/2004
G,7,1,4,4,common,spirit,97b39b66-d97d-5983-a382-4ddb7863f815,menace soulshift6,10/1/2004
W,3,2,2,3,common,human cleric,88c406af-c9b5-5bc0-a4f6-076bdaa675d5,,7/1/1995
W,4,1,2,2,common,elephant,fd5d6c76-4824-5b08-9654-22f8aad0185b,trample banding,7/1/1995
U,4,1,2,4,uncommon,drake,7547d049-8fce-53f7-84cb-0054c84778d2,flying,7/1/1995
R,3,1,2,6,common,wall,c1086043-6583-5cdd-960a-81dcab6611a7,defender,7/1/1995
G,3,2,2,2,common,cat warrior,4420a27c-e019-5e46-a438-0583fb80037f,forestwalk,7/1/1995
G,7,4,6,4,uncommon,giant,70b527a1-4a38-5afa-b5f9-a0881d89699f,trample rampage2,7/1/1995
G;R,6,3,4,6,uncommon,elf warrior legendary,fe4ca6a3-8d6b-5ac5-9c3f-ed2ff7b61b0b,rampage1,7/1/1995
B;U,7,2,6,4,uncommon,human legendary,306fc0f5-17cc-526e-81fa-c39c5970e599,,7/1/1995
U;W,5,2,4,4,uncommon,human advisor legendary,70730d5d-1394-5b81-96e7-5be439a1bd99,,7/1/1995
W,5,2,4,4,uncommon,angel,565ef6ef-cb4a-5a26-a7fc-a11bcff679a3,flying vigilance myriad,6/8/2018
R,5,2,5,3,uncommon,giant warrior,7f5dd34e-fa1e-55b0-8182-0443f083922c,haste myriad,6/8/2018
W,5,2,4,4,uncommon,angel,7a639a09-78e6-5ff8-8854-4b0bdb441354,flying vigilance,6/9/2017
G,7,2,8,6,uncommon,beast,ae37b8e9-8e3e-5339-80ae-b6e5bcc5dc14,trample myriad,6/9/2017
G,2,1,2,1,common,elf archer,622c545b-235e-5d6a-b2ad-47129ce0c7ee,reach deathtouch,6/9/2017
G;U,3,2,1,1,common,snake,4ec6bd7d-c6e1-5572-95c8-62229565f4aa,flash flying deathtouch,6/9/2017
W,5,2,4,4,uncommon,angel,7b3d69c1-2ae9-514e-9849-6011877224c9,flying vigilance,6/17/2011
B,3,2,2,3,uncommon,vampire shaman,9fabd016-c971-5b60-ba0d-5548139abe4b,flying deathtouch lifelink,6/17/2011
G,2,1,1,2,common,spider,33db227e-ea97-5bb7-aa64-8acc3f45ff06,reach deathtouch,6/17/2011
U;W,3,9,4,4,uncommon,elemental,c15f9d55-3b28-5fa0-be08-417869e750ee,flash defender flying,6/17/2011
G;U,7,2,6,6,rare,leviathan,c1ca9a78-ffe9-512b-89af-009e2b49d6b3,flying trample shroud,6/17/2011
U;W,3,2,0,8,uncommon,wall,f201e704-a97b-5415-af55-fca2170adc40,defender flying shroud,6/17/2011
W,2,1,1,1,uncommon,human soldier,24ffae73-bbcb-57a6-9bd9-d812b74a0840,doublestrike,11/20/2020
W,4,2,2,4,common,angel,e7da3691-5c28-5b41-8169-9dfb214e3463,flying lifelink,11/20/2020
R,6,1,6,3,common,human pirate,b288bdfc-b88a-5e56-ab2b-60fa3485d489,haste cascade,11/20/2020
R,2,1,2,1,common,goblin pirate,1cf9407c-da88-531c-bbbb-f886e7ad74f6,menace,11/20/2020
R,6,2,6,5,common,dinosaur,48448b61-5f31-53a2-9bbe-66293104501b,menace,11/20/2020
R,0,0,0,1,uncommon,kobold warrior legendary,379be6bc-f2ec-50ef-b815-f2c1d3ff867f,firststrike menace trample partner,11/20/2020
R,4,2,4,3,common,giant,b97549e9-0b87-5b96-9ea1-1b3495dcb6f7,reach,11/20/2020
R,6,2,4,4,uncommon,dragon,d4ef1d4e-233e-5a2c-a4d0-0ceac8ae48db,flying haste,11/20/2020
G,2,1,2,1,common,snake,8d167cba-ebfd-5f2d-86cb-bccbbba625fd,flash deathtouch,11/20/2020
G,7,2,6,5,common,dinosaur,09038313-4035-5441-8f9b-f47d706a5988,reach trample cascade,11/20/2020
G,10,2,10,10,mythic,chimera hydra,0973d08b-c588-5be8-882b-abb9631eb700,cascade cascade cascade cascade,11/20/2020
G,6,2,6,7,uncommon,crocodile,fcb66348-e4ff-5735-b140-9eaa2936c1b8,hexproof,11/20/2020
G,5,2,4,4,common,spider,b00630a0-5802-552f-8e9c-629a386e8b5a,vigilance reach,11/20/2020
X,6,0,4,4,common,gargoyle artifact,ae26004a-a9be-5f2e-a23e-b4472401e82d,flying,11/20/2020
X,8,0,7,7,common,golem artifact,a681056b-3fcb-545b-bc65-10a4b7ec63b5,cascade,11/20/2020
G;U,7,2,6,6,rare,leviathan,4ff81946-5443-566a-a975-540d9b20f740,flying trample shroud,11/20/2020
R,0,0,0,1,uncommon,kobold warrior legendary,aa96aa16-62a1-5296-a061-acc38bb24417,firststrike menace trample partner,11/20/2020
G,10,2,10,10,mythic,chimera hydra,08471660-8ffa-5eb8-9152-1e34a2123fa5,cascade cascade cascade cascade,11/20/2020
W,2,1,1,1,common,bird,9df48c5c-31bb-5fcc-9d88-65f811d5350c,flying melee,8/26/2016
R,3,1,2,1,common,human warrior,c3684a3d-b037-5a36-b1bf-051d6ed6f43c,menace melee,8/26/2016
G,4,1,3,2,common,human warrior,5c5069b1-b5a5-5c81-a4a2-bc74909e86c3,trample melee,8/26/2016
W,3,1,2,2,common,griffin,9a9e3d2e-d8af-5da9-bcf6-8bc1165e592d,flying,8/26/2016
U,4,1,3,2,common,siren,85139da7-64fb-5bd5-be53-2ca309059b55,flash flying,8/26/2016
B,2,1,2,1,common,vampire,5b44b8c5-7b9a-5881-8ab4-6869a1aee9e5,lifelink,8/26/2016
R,2,1,3,3,common,ogre warrior,a4e4cd97-b6f0-5c37-a7aa-a9f997b43253,defender,8/26/2016
G,2,1,3,1,uncommon,beast,28fe2f6d-2f24-529f-b4b6-4f062d637d1d,vigilance,8/26/2016
U;W,4,2,3,2,uncommon,vedalken wizard,708d2651-535b-5855-b391-0ae3763666a6,flying hexproof,8/26/2016
X,2,0,2,1,common,sable artifact,d039b6cf-0fb0-5792-be7b-e81a2dffc049,,8/26/2016
X,7,0,5,7,common,golem artifact,e281ad63-b7dc-50f1-90cd-82274ab39625,,8/26/2016
U,4,1,2,2,common,human rogue,cf81788e-4a4c-5845-95f2-2786e8aa23b4,hexproof dethrone,6/6/2014
W,2,2,2,2,common,cat cleric,efd0424c-a336-552a-84ad-b8b128b6166c,lifelink,6/6/2014
W,2,1,1,2,common,bird,e2c2d868-3758-5cb4-9a4a-0c06be7bc56f,flying vigilance,6/6/2014
W,4,1,2,4,common,ox,2ec4ea11-d69f-5408-b9d8-a6e7acba60bb,,6/6/2014
U,2,2,1,4,common,beast,4126e87f-5636-5c0d-bce3-0a5900866e80,,6/6/2014
B,1,1,1,1,common,rat,8c7205db-7b3b-588c-9d23-8e5aac7bf34f,deathtouch,6/6/2014
B,5,1,4,3,common,zombie giant,213cef4d-3238-5ec7-aedc-908a2d409ca9,,6/6/2014
R,4,1,4,2,common,lizard warrior,36d4627f-b761-5924-802a-887265c5e663,,6/6/2014
G,8,1,7,6,common,wurm,382f7a0b-24f8-57c1-8816-9146f03dfdd6,,6/6/2014
G,3,1,1,5,common,spider,7c96265a-9166-519d-a18c-ca0f649ec0f5,reach,6/6/2014
U;W,3,2,2,2,uncommon,spirit,2f3a3fb1-5d1c-5304-ae4c-287c5a61aa33,flying firststrike,6/6/2014
W,2,1,1,1,common,bird soldier,8b0abea3-3bc5-5182-87a0-9ceae30db938,flying exalted,2/6/2009
W,1,1,0,3,common,human soldier,83275a85-b57b-5002-a8a8-0a13215f32ad,,2/6/2009
U,9,2,7,11,rare,leviathan artifact,4c97d231-a316-54c1-bcea-2d1c4f0b99d4,trample islandwalk shroud,2/6/2009
R,4,1,3,3,common,minotaur warrior,9d52d655-f845-55da-9612-0f9fe6d2263a,,2/6/2009
G,3,1,2,2,uncommon,ooze,9efa8adb-3e5b-5dcf-a15d-d51f357ac352,flash devour1,2/6/2009
U;W,4,2,3,3,common,bird artifact,7095cee8-9ffe-59d0-ab79-f2fcb696bcd7,flying,2/6/2009
B;G;R;U;W,5,5,8,8,uncommon,elemental,b7382cbe-c775-565c-88da-2b52c451aa1b,,2/6/2009
W,3,1,2,1,common,human soldier,0ccaf773-319c-5a99-b30d-d62b092ac90d,firststrike ripple4,7/21/2006
B,2,1,2,1,common,human rogue,b2ddc6e9-83b3-5cc8-bb3b-6fb2c776efc1,,7/21/2006
G,5,1,6,1,common,insect,38a75527-977d-51ee-8b5b-d5454ed7761e,shroud,7/21/2006
G,2,2,2,3,common,elf warrior,5f9fb6f6-9909-5452-950a-720fa5b186d5,,11/16/2007
R,1,1,1,1,common,goblin berserker,8b944fee-5218-5325-9d76-d15d76d76772,haste,11/16/2007
